,사고번호,사고일시,시군구,구,lat,long
215,2021021200100163,2021년 2월 12일 16시,대구광역시 달서구 송현동,달서구,35.8288022,128.5498217
216,2021021200100235,2021년 2월 12일 20시,대구광역시 달서구 상인동,달서구,35.8116168,128.5355293
217,2021021300100010,2021년 2월 13일 01시,대구광역시 수성구 범어동,수성구,35.8515414,128.6235794
218,2021021300100123,2021년 2월 13일 13시,대구광역시 북구 태전동,북구,35.919367,128.5497379
219,2021021300100199,2021년 2월 13일 16시,대구광역시 동구 율하동,동구,35.8731759,128.6965218
220,2021021300100414,2021년 2월 13일 23시,대구광역시 수성구 범물동,수성구,35.8215845,128.643313
221,2021021400100011,2021년 2월 14일 01시,대구광역시 수성구 황금동,수성구,35.8425182,128.6315998
222,2021021400100072,2021년 2월 14일 12시,대구광역시 수성구 범물동,수성구,35.8229187,128.6419919
223,2021021400100130,2021년 2월 14일 15시,대구광역시 수성구 상동,수성구,35.8350188,128.6157067
224,2021021400100131,2021년 2월 14일 15시,대구광역시 북구 산격동,북구,35.892747,128.6088597
225,2021021400100301,2021년 2월 14일 21시,대구광역시 수성구 범어동,수성구,35.8641723,128.6352988
226,2021021400100304,2021년 2월 14일 21시,대구광역시 달서구 두류동,달서구,35.8533481,128.5489123
227,2021021500100323,2021년 2월 15일 17시,대구광역시 달서구 월성동,달서구,35.8225694,128.5276145
228,2021021500100399,2021년 2월 15일 19시,대구광역시 달서구 용산동,달서구,35.858839,128.5211141
229,2021021500100421,2021년 2월 15일 20시,대구광역시 동구 각산동,동구,35.87516,128.7183744
230,2021021500100461,2021년 2월 15일 22시,대구광역시 서구 중리동,서구,35.8588036,128.5442683
231,2021021600100032,2021년 2월 16일 05시,대구광역시 남구 대명동,남구,35.8534776,128.583706
232,2021021600100170,2021년 2월 16일 12시,대구광역시 서구 내당동,서구,35.8644432,128.5640895
233,2021021700100033,2021년 2월 17일 05시,대구광역시 북구 산격동,북구,35.8925827,128.6064367
234,2021021700100207,2021년 2월 17일 12시,대구광역시 북구 노원동2가,북구,35.888811,128.5709233
235,2021021700100337,2021년 2월 17일 16시,대구광역시 달서구 송현동,달서구,35.8370183,128.5526781
236,2021021700100338,2021년 2월 17일 16시,대구광역시 북구 노원동3가,북구,35.8942428,128.5520782
237,2021021700100422,2021년 2월 17일 18시,대구광역시 달서구 장기동,달서구,35.8473479,128.5261093
238,2021021700100423,2021년 2월 17일 18시,대구광역시 북구 동천동,북구,35.9434315,128.5581145
239,2021021700100499,2021년 2월 17일 20시,대구광역시 동구 입석동,동구,35.888682,128.6449211
240,2021021800100025,2021년 2월 18일 05시,대구광역시 달서구 이곡동,달서구,35.8572235,128.5151295
241,2021021800100158,2021년 2월 18일 11시,대구광역시 달서구 이곡동,달서구,35.8554488,128.5022905
242,2021021800100331,2021년 2월 18일 16시,대구광역시 달서구 송현동,달서구,35.830454,128.5555196
243,2021021800100442,2021년 2월 18일 19시,대구광역시 수성구 상동,수성구,35.8346666,128.6086113
244,2021021800100443,2021년 2월 18일 19시,대구광역시 달서구 유천동,달서구,35.8140114,128.5148494
